Level	Rate	Pattern	MaxBeats	TargetBeats	SafeWidth	BeatWidth
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
